Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
11/5/2026,15:05:51,CNR4188282,Success,CUST83407,Prime SUV,Wilson Garden,Hoodi,7.3,27.6,No,,No,,No,,355.67,18,4.8,4.7
30/5/2026,11:23:36,CNR8458488,Pending,CUST98078,Bike,Shivajinagar,HSR Layout,,,No,,No,,No,,,,,
23/5/2026,14:37:56,CNR2517038,Cancelled by Driver,CUST42762,Bike,Banashankari,HSR Layout,,,No,,Yes,Personal & Car related issues,No,,,,,
18/5/2026,1:31:03,CNR6459870,Cancelled by Customer,CUST86142,Prime SUV,MG Road,Peenya,,,Yes,Change of plans,No,,No,,,,,
4/5/2026,19:37:24,CNR2788393,Success,CUST43885,eBike,Cunningham Road,Sahakar Nagar,4.5,32.1,No,,No,,No,,308.48,6.6,4,4.3
4/5/2026,8:52:29,CNR4334418,Pending,CUST76836,Bike,Rajajinagar,Nagawara,,,No,,No,,No,,,,,
2/5/2026,18:38:17,CNR9803243,Success,CUST22109,Prime Plus,Chickpet,JP Nagar,4.7,40.8,No,,No,,No,,276.43,31.6,4.9,4
27/5/2026,9:46:23,CNR3160604,Success,CUST87282,eBike,KR Puram,Devanahalli,8.8,37.2,No,,No,,No,,986.36,28.9,3.6,3.6
18/5/2026,20:54:52,CNR5675632,Cancelled by Driver,CUST92758,Auto,Kalyan Nagar,Lalbagh,,,No,,Yes,Personal & Car related issues,No,,,,,
23/5/2026,21:22:47,CNR5872771,Success,CUST53265,Prime Plus,Indiranagar,Domlur,6.1,32.8,No,,No,,No,,1031.58,13.9,4.1,3.8
1/5/2026,4:08:56,CNR2826520,Success,CUST47379,eBike,Begur,JP Nagar,2.6,17.3,No,,No,,No,,106.82,2.5,4.8,4.6
31/5/2026,18:52:05,CNR8021200,Success,CUST63706,Prime Sedan,BTM Layout,Brookefield,8.2,43.2,No,,No,,No,,599.25,5.3,3.6,3.7
26/5/2026,19:56:37,CNR5268769,Cancelled by Driver,CUST13204,Prime Plus,Peenya,Lalbagh,,,No,,Yes,The customer was coughing/sick,No,,,,,
7/5/2026,8:02:08,CNR2512603,Success,CUST66779,Bike,Majestic,Brookefield,6.7,43.4,No,,No,,No,,284.3,33.9,5,3.7
6/5/2026,7:40:13,CNR4560400,Success,CUST34456,Mini,Malleshwaram,BTM Layout,2.9,35.4,No,,No,,No,,785.08,13.2,4.4,4.3
6/5/2026,23:01:01,CNR4777487,Cancelled by Customer,CUST97912,Prime SUV,Hoodi,Kengeri,,,Yes,Wrong Address,No,,No,,,,,
10/5/2026,15:39:17,CNR8981061,Cancelled by Customer,CUST26977,Bike,BTM Layout,KR Puram,,,Yes,Change of plans,No,,No,,,,,
17/5/2026,6:06:20,CNR3906951,Success,CUST23765,Bike,Anekal,Airport Road,5.2,49,No,,No,,No,,574.94,22.6,3.5,5
14/5/2026,13:12:26,CNR3376559,Cancelled by Customer,CUST38027,eBike,Indiranagar,Kadugodi,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
10/5/2026,6:49:40,CNR8754956,Pending,CUST28527,eBike,Peenya,Indiranagar,,,No,,No,,No,,,,,
19/5/2026,15:30:27,CNR2488663,Cancelled by Driver,CUST26438,Prime Sedan,Rajajinagar,Electronic City,,,No,,Yes,The customer was coughing/sick,No,,,,,
4/5/2026,16:16:04,CNR6582461,Pending,CUST61654,Bike,Lalbagh,Rajajinagar,,,No,,No,,No,,,,,
10/5/2026,15:54:46,CNR2004621,Success,CUST71814,Prime Plus,Cunningham Road,Wilson Garden,11.6,26,No,,No,,No,,788.85,2.7,3.8,4.7
11/5/2026,20:56:38,CNR5929391,Pending,CUST84914,eBike,Hennur,Richmond Town,,,No,,No,,No,,,,,
15/5/2026,7:54:50,CNR1932092,Success,CUST25778,eBike,Anekal,Kalyan Nagar,3.5,56.3,No,,No,,No,,156.34,27.3,4.1,4.8
24/5/2026,7:52:33,CNR3922764,Incomplete,CUST60466,Mini,Banashankari,CV Raman Nagar,,,No,,No,,Yes,Customer Demand,,,,
6/5/2026,17:48:48,CNR7396013,Success,CUST68961,Prime Sedan,Electronic City,Anekal,2.8,33.4,No,,No,,No,,165.58,25.9,4.7,3.7
17/5/2026,17:41:26,CNR7170148,Pending,CUST63707,eBike,Whitefield,Indiranagar,,,No,,No,,No,,,,,
18/5/2026,16:50:10,CNR4001226,Success,CUST86364,Prime Sedan,Devanahalli,Varthur,7.2,20.1,No,,No,,No,,449.44,15.5,4.7,4.4
2/5/2026,9:58:31,CNR1417431,Success,CUST39256,Prime Sedan,CV Raman Nagar,Hebbal,4.2,50.7,No,,No,,No,,665.76,23.8,4.5,4.1
